epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,875.488,0.9869,0.40882,1.01302,0.99728,0.99878,0.99472,0.72429,1.02151,0.35589,1.01421,0.0005842,0.0005842,0.0005842
44,895.427,0.98775,0.41039,1.01196,0.99486,0.99878,0.99475,0.72503,1.0207,0.35479,1.01601,0.0005743,0.0005743,0.0005743
45,915.534,0.99712,0.412,1.01307,0.99498,0.99756,0.99462,0.72964,1.0152,0.35601,1.013,0.0005644,0.0005644,0.0005644
46,935.657,0.9826,0.40428,1.0097,0.99513,0.99827,0.995,0.72718,1.01765,0.35742,1.01986,0.0005545,0.0005545,0.0005545
47,955.667,0.98088,0.40158,1.01137,0.99636,0.99878,0.99472,0.72763,1.01944,0.3548,1.01683,0.0005446,0.0005446,0.0005446
48,975.766,0.9756,0.40201,1.00746,0.99634,0.99707,0.99459,0.73001,1.01551,0.35529,1.01458,0.0005347,0.0005347,0.0005347
49,995.95,0.97912,0.40008,1.00666,0.99735,0.99878,0.99474,0.72893,1.01859,0.3496,1.01355,0.0005248,0.0005248,0.0005248
50,1016.04,0.97515,0.39798,1.00483,0.99618,0.99756,0.99464,0.72895,1.01058,0.34703,1.00981,0.0005149,0.0005149,0.0005149
51,1036.01,0.96697,0.39106,1.00368,0.99668,0.99756,0.99479,0.73198,1.0115,0.34388,1.01257,0.000505,0.000505,0.000505
52,1055.9,0.97162,0.39622,1.00295,0.99878,0.99849,0.99482,0.73155,1.00617,0.3461,1.01351,0.0004951,0.0004951,0.0004951
53,1075.87,0.98009,0.39597,1.00598,0.99756,0.99853,0.99486,0.72739,1.01838,0.34701,1.01842,0.0004852,0.0004852,0.0004852
54,1095.94,0.9628,0.39039,1.00248,0.99815,0.99878,0.9948,0.73329,1.00787,0.34656,1.01159,0.0004753,0.0004753,0.0004753
55,1115.9,0.97095,0.39132,1.0061,0.99741,0.99878,0.99478,0.7322,1.00383,0.34047,1.00873,0.0004654,0.0004654,0.0004654
56,1135.81,0.96825,0.38969,1.00209,0.99781,0.99878,0.9948,0.73177,1.00322,0.33721,1.00796,0.0004555,0.0004555,0.0004555
57,1155.96,0.97299,0.38925,1.00348,0.99804,0.99756,0.99482,0.73048,1.01097,0.33747,1.01149,0.0004456,0.0004456,0.0004456
58,1175.98,0.96559,0.39018,1.0045,0.99736,0.99878,0.99478,0.73236,1.01476,0.3395,1.01567,0.0004357,0.0004357,0.0004357
59,1195.9,0.96452,0.38413,1.00059,0.99671,0.99511,0.99462,0.72942,1.02205,0.34273,1.0132,0.0004258,0.0004258,0.0004258
60,1215.94,0.96079,0.38415,0.99895,0.99727,1,0.995,0.73353,1.00495,0.34017,1.00971,0.0004159,0.0004159,0.0004159
61,1236,0.96156,0.38514,0.99994,0.99774,0.99756,0.9948,0.73108,1.01169,0.33838,1.0155,0.000406,0.000406,0.000406
62,1256.07,0.95052,0.38082,0.99591,0.99742,0.99878,0.99477,0.73047,1.02071,0.34028,1.01389,0.0003961,0.0003961,0.0003961
63,1276.17,0.95365,0.38136,0.9984,0.99853,1,0.995,0.73031,1.01838,0.33643,1.01721,0.0003862,0.0003862,0.0003862
64,1296.19,0.95745,0.38283,0.99765,0.99733,0.99878,0.9948,0.73273,1.01089,0.33466,1.01303,0.0003763,0.0003763,0.0003763
65,1316.07,0.94745,0.37786,0.99495,0.99916,1,0.995,0.73258,1.01142,0.3359,1.01482,0.0003664,0.0003664,0.0003664
66,1336.05,0.94801,0.37583,0.99471,0.99931,1,0.995,0.73432,1.00583,0.33208,1.00931,0.0003565,0.0003565,0.0003565
67,1356.05,0.94688,0.37559,0.99151,0.99689,0.99878,0.99478,0.73269,1.00262,0.33092,1.01095,0.0003466,0.0003466,0.0003466
68,1376,0.94565,0.37676,0.9963,0.99756,0.99796,0.99476,0.73402,1.00525,0.33321,1.00972,0.0003367,0.0003367,0.0003367
69,1396.02,0.94655,0.37538,0.99637,0.9961,0.99756,0.9946,0.73204,1.011,0.33341,1.01365,0.0003268,0.0003268,0.0003268
70,1416.17,0.93677,0.37302,0.98828,0.99722,1,0.995,0.73329,1.00565,0.33201,1.01143,0.0003169,0.0003169,0.0003169
71,1436.01,0.93666,0.36889,0.99117,0.99628,0.99878,0.99477,0.73769,1.00031,0.32771,1.00874,0.000307,0.000307,0.000307
72,1456.04,0.9385,0.36675,0.99119,0.99611,0.99878,0.99478,0.73445,1.00353,0.32893,1.00905,0.0002971,0.0002971,0.0002971
73,1476.01,0.94023,0.36687,0.99201,0.99621,0.99878,0.99475,0.73284,1.0027,0.32655,1.00821,0.0002872,0.0002872,0.0002872
